1. 808 Group (Deep, Sustained)
1. Deep Sub Boom: waveform: 10.0, transpose: -24.0, amp_decay: 1.5, amp_release: 1.5
2. Long 808 Trap Kick: waveform: 10.0, transpose: -24.0, pEnv_amt: 24.0, amp_decay: 2.5
3. 808-Style Snare: waveform: 10.0, transpose: 5.0, noise: 0.4, pEnv_amt: 24.0
4. 808 Cowbell: waveform: 2.0, dualOscMode: 1.0, unison_detune: 0.6, transpose: 7.0
5. Gliding 808: waveform: 10.0, transpose: -24.0, glide: 0.5, voiceMode: 1.0
6. High Conga 808: waveform: 10.0, transpose: 15.0, pEnv_amt: 12.0, amp_decay: 0.4
7. Muffled 808 Bass: waveform: 10.0, transpose: -24.0, amp_attack: 0.05, pEnv_amt: 0.0
8. Classic 808 Rimshot: waveform: 10.0, transpose: 17.0, pEnv_amt: 0.0, trans_amount: 1.0
9. 808 Low Tom: waveform: 10.0, transpose: -12.0, pEnv_amt: 18.0, pEnv_decay: 0.2
10. 808 Mid Tom: waveform: 10.0, transpose: -5.0, pEnv_amt: 18.0, pEnv_decay: 0.15

2. 909 Group (Punchy, Transient)
11. 909-Style Kick: waveform: 10.0, transpose: -12.0, pEnv_amt: 24.0, pEnv_decay: 0.08, trans_amount: 0.8
12. Classic Analog Snare: waveform: 10.0, noise: 0.8, pEnv_amt: 12.0, flt_cutoff: 8000.0
13. Tight Closed Hat: noiseOnly: 1.0, noiseColor: 0.9, amp_decay: 0.04, flt_cutoff: 12000.0
14. Open Hat: noiseOnly: 1.0, cutSelf: 1.0, amp_decay: 0.4, amp_release: 0.3
15. Synthesized Clap: noiseOnly: 1.0, burst_mode: 1.0, burst_count: 4.0, burst_spacing: 12.0
16. White Noise Crash: noiseOnly: 1.0, amp_decay: 1.8, flt_type: 1.0, flt_cutoff: 8000.0
17. Synth Rimshot: waveform: 10.0, transpose: 10.0, trans_amount: 1.0, pEnv_amt: 24.0
18. Pedal Hat (Chick): noiseOnly: 1.0, noiseColor: 0.6, amp_decay: 0.08, flt_cutoff: 8000.0
19. Deep House Thump: waveform: 10.0, transpose: -18.0, pEnv_amt: 15.0, trans_amount: 0.1
20. 909 High Tom: waveform: 10.0, transpose: 5.0, noise: 0.2, pEnv_amt: 20.0

3. 606 Group (Tight, Clicky)
21. Analog Metronome: waveform: 10.0, transpose: 12.0, amp_decay: 0.01, trans_amount: 1.0
22. Electro Castanet: waveform: 2.0, transpose: 19.0, burst_mode: 1.0, burst_count: 2.0
23. High Woodblock: waveform: 2.0, transpose: 24.0, amp_decay: 0.04, trans_amount: 0.8
24. Master Sync Tick: waveform: 10.0, transpose: 36.0, amp_decay: 0.001, noiseOnly: 1.0
25. 606 Closed Hat: noiseOnly: 1.0, noiseColor: 0.8, amp_decay: 0.03, flt_type: 1.0
26. 606 Open Hat: noiseOnly: 1.0, noiseColor: 0.8, amp_decay: 0.25, cutSelf: 1.0
27. 606 Snare: waveform: 10.0, transpose: 8.0, noise: 0.6, amp_decay: 0.12
28. 606 Kick: waveform: 10.0, transpose: -10.0, pEnv_amt: 24.0, pEnv_decay: 0.05
29. 606 Low Tom: waveform: 10.0, transpose: -5.0, pEnv_amt: 15.0, amp_decay: 0.2
30. 606 High Tom: waveform: 10.0, transpose: 10.0, pEnv_amt: 15.0, amp_decay: 0.15

4. Simmons Group (80s Sweeps)
31. Resonant Synth Tom: waveform: 10.0, transpose: -5.0, pEnv_amt: 12.0, pEnv_decay: 0.2
32. Sci-Fi Laser Zap: waveform: 0.0, transpose: 24.0, pEnv_amt: -24.0, pEnv_decay: 0.05
33. Simmons 80s Tom: waveform: 0.0, noise: 0.3, pEnv_amt: 24.0, pEnv_decay: 0.15
34. Gated 80s Snare: waveform: 10.0, noise: 0.9, amp_sustain: 0.4, amp_release: 0.01
35. Electro Pew-Pew: waveform: 0.0, transpose: 0.0, pEnv_amt: -24.0, pEnv_decay: 0.15
36. Disco Syndrum: waveform: 10.0, transpose: 12.0, pEnv_amt: -24.0, pEnv_decay: 0.2
